Дата,Ваксина,Пол,Възрастова група,Брой в интензивно отделение
2021/09/23,-,-,-,0
2021/09/23,COM,Мъж,60 - 69,1
2021/09/23,COM,Мъж,70 - 79,1
2021/09/24,JANSS,Мъж,60 - 69,1
2021/09/25,AZ,Жена,80 - 89,1
2021/09/26,COM,Мъж,70 - 79,1
2021/09/27,JANSS,Мъж,60 - 69,1
2021/09/27,COM,Мъж,80 - 89,1
2021/09/28,COM,Мъж,70 - 79,1
2021/09/29,COM,Мъж,70 - 79,1
2021/09/30,AZ,Жена,60 - 69,1
2021/10/01,AZ,Мъж,80 - 89,1
2021/10/01,AZ,Жена,70 - 79,1
2021/10/03,-,-,-,0
2021/10/04,-,-,-,0
2021/10/04,JANSS,Мъж,40 - 49,1
2021/10/05,JANSS,Мъж,50 - 59,1
2021/10/05,COM,Мъж,60 - 69,1
2021/10/06,COM,Мъж,80 - 89,1
2021/10/07,COM,Жена,70 - 79,1
2021/10/08,JANSS,Мъж,30 - 39,1
2021/10/08,AZ,Жена,70 - 79,1
2021/10/08,COM,Мъж,70 - 79,1
2021/10/10,-,-,-,0
2021/10/11,-,-,-,0
2021/10/12,JANSS,Мъж,30 - 39,1
2021/10/12,COM,Жена,60 - 69,1
2021/10/13,COM,Мъж,70 - 79,1
2021/10/14,JANSS,Мъж,40 - 49,1
2021/10/14,COM,Жена,50 - 59,1
2021/10/15,JANSS,Жена,60 - 69,1
2021/10/16,AZ,Мъж,70 - 79,1
2021/10/16,COM,Жена,70 - 79,1
2021/10/18,AZ,Жена,70 - 79,1
2021/10/18,AZ,Мъж,60 - 69,1
2021/10/18,COM,Мъж,60 - 69,1
2021/10/18,-,-,-,0
2021/10/19,JANSS,Мъж,40 - 49,1
2021/10/19,AZ,Жена,60 - 69,1
2021/10/20,COM,Мъж,60 - 69,1
2021/10/21,COM,Мъж,20 - 29,1
2021/10/21,JANSS,Мъж,40 - 49,1
2021/10/21,JANSS,Мъж,50 - 59,1
2021/10/22,COM,Мъж,80 - 89,1
2021/10/23,-,-,-,0
2021/10/24,-,-,-,0
2021/10/25,JANSS,Жена,60 - 69,1
2021/10/26,JANSS,Мъж,50 - 59,1
2021/10/26,AZ,Жена,60 - 69,1
2021/10/27,COM,Мъж,60 - 69,1
2021/10/27,AZ,Мъж,60 - 69,1
2021/10/28,AZ,Мъж,70 - 79,1
2021/10/28,JANSS,Мъж,50 - 59,1
2021/10/28,COM,Мъж,80 - 89,1
2021/10/28,AZ,Мъж,80 - 89,1
2021/10/28,AZ,Жена,70 - 79,1
2021/10/28,COM,Жена,80 - 89,1
2021/10/29,AZ,Мъж,80 - 89,1
2021/10/29,JANSS,Жена,60 - 69,1
2021/10/29,AZ,Жена,70 - 79,1
2021/10/30,COM,Мъж,70 - 79,1
2021/10/31,-,-,-,0
2021/11/01,AZ,Мъж,70 - 79,1
2021/11/01,COM,Мъж,70 - 79,1
2021/11/01,COM,Мъж,80 - 89,1
2021/11/01,AZ,Жена,60 - 69,1
2021/11/02,AZ,Мъж,70 - 79,2
2021/11/02,AZ,Жена,60 - 69,1
2021/11/02,JANSS,Жена,40 - 49,1
2021/11/02,COM,Мъж,70 - 79,1
2021/11/03,COM,Мъж,60 - 69,2
2021/11/03,COM,Мъж,80 - 89,1
2021/11/03,COM,Мъж,70 - 79,1
2021/11/04,JANSS,Мъж,40 - 49,1
2021/11/05,JANSS,Мъж,60 - 69,1
2021/11/05,COM,Мъж,80 - 89,1
2021/11/05,AZ,Жена,70 - 79,1
2021/11/06,AZ,Мъж,70 - 79,1
2021/11/07,JANSS,Мъж,50 - 59,1
2021/11/08,COM,Жена,70 - 79,1
2021/11/08,COM,Мъж,70 - 79,1
2021/11/08,AZ - COM,Мъж,60 - 69,1
2021/11/08,COM,Мъж,30 - 39,1
2021/11/09,MOD,Жена,90+,1
2021/11/09,COM,Мъж,70 - 79,1
2021/11/09,COM,Мъж,80 - 89,1
2021/11/10,JANSS,Мъж,40 - 49,1
2021/11/10,AZ,Мъж,50 - 59,1
2021/11/10,AZ,Мъж,80 - 89,1
2021/11/10,AZ,Мъж,70 - 79,1
2021/11/11,AZ,Мъж,60 - 69,1
2021/11/11,AZ,Мъж,70 - 79,1
2021/11/11,COM,Жена,60 - 69,1
2021/11/11,JANSS,Мъж,50 - 59,1
2021/11/11,JANSS,Мъж,60 - 69,1
2021/11/12,COM,Мъж,60 - 69,1
2021/11/12,COM,Мъж,70 - 79,2
2021/11/13,COM,Мъж,70 - 79,1
2021/11/14,COM,Мъж,30 - 39,1
2021/11/15,COM,Мъж,70 - 79,1
2021/11/15,COM,Мъж,40 - 49,1
2021/11/16,JANSS,Мъж,20 - 29,1
2021/11/17,AZ,Мъж,60 - 69,1
2021/11/17,COM,Мъж,70 - 79,1
2021/11/17,COM,Жена,70 - 79,1
2021/11/17,JANSS,Мъж,60 - 69,1
2021/11/18,COM,Мъж,60 - 69,1
2021/11/18,COM,Мъж,70 - 79,1
2021/11/18,MOD,Мъж,80 - 89,1
2021/11/19,AZ,Мъж,60 - 69,1
2021/11/19,JANSS,Жена,70 - 79,1
2021/11/20,COM,Мъж,70 - 79,1
2021/11/21,JANSS,Мъж,40 - 49,1
2021/11/21,COM,Мъж,70 - 79,1
2021/11/22,AZ,Мъж,50 - 59,1
2021/11/22,AZ,Мъж,80 - 89,2
2021/11/22,AZ,Мъж,60 - 69,1
2021/11/22,AZ,Мъж,70 - 79,1
2021/11/22,COM,Жена,60 - 69,1
2021/11/23,COM,Мъж,80 - 89,1
2021/11/23,JANSS,Мъж,80 - 89,1
2021/11/24,AZ,Мъж,80 - 89,1
2021/11/24,COM,Мъж,60 - 69,1
2021/11/24,JANSS,Мъж,70 - 79,2
2021/11/25,AZ,Жена,70 - 79,1
2021/11/25,AZ,Мъж,70 - 79,1
2021/11/25,JANSS,Мъж,50 - 59,1
2021/11/26,JANSS,Мъж,40 - 49,1
2021/11/26,COM,Мъж,50 - 59,1
2021/11/26,AZ,Мъж,70 - 79,1
2021/11/26,JANSS,Мъж,70 - 79,1
2021/11/27,-,-,-,0
2021/11/28,-,-,-,0
2021/11/29,COM,Мъж,70 - 79,1
2021/11/30,-,-,-,0
2021/12/01,COM,Мъж,70 - 79,1
2021/12/02,JANSS,Мъж,70 - 79,1
2021/12/03,COM,Мъж,60 - 69,1
2021/12/03,COM,Жена,70 - 79,1
2021/12/03,JANSS,Мъж,40 - 49,1
2021/12/04,COM,Мъж,80 - 89,1
2021/12/04,JANSS,Мъж,40 - 49,1
2021/12/05,AZ - COM,Мъж,60 - 69,1
2021/12/05,AZ,Мъж,60 - 69,1
2021/12/06,MOD,Мъж,80 - 89,1
2021/12/06,JANSS,Жена,60 - 69,2
2021/12/07,COM,Мъж,60 - 69,1
2021/12/07,JANSS,Мъж,60 - 69,1
2021/12/07,COM,Мъж,80 - 89,1
2021/12/07,AZ,Мъж,60 - 69,1
2021/12/08,JANSS,Мъж,70 - 79,1
2021/12/08,COM,Мъж,60 - 69,1
2021/12/08,COM,Мъж,70 - 79,1
2021/12/08,JANSS,Мъж,60 - 69,1
2021/12/09,AZ,Мъж,60 - 69,1
2021/12/09,AZ,Мъж,70 - 79,1
2021/12/10,COM,Мъж,70 - 79,1
2021/12/10,COM,Жена,80 - 89,1
2021/12/11,COM,Мъж,60 - 69,1
2021/12/12,AZ,Мъж,40 - 49,1
2021/12/13,COM,Мъж,80 - 89,1
2021/12/14,JANSS,Жена,60 - 69,1
2021/12/14,JANSS,Жена,50 - 59,1
2021/12/14,COM,Мъж,60 - 69,1
2021/12/15,AZ,Жена,70 - 79,1
2021/12/15,COM,Мъж,70 - 79,1
2021/12/15,COM,Жена,50 - 59,1
2021/12/16,AZ,Жена,70 - 79,1
2021/12/16,AZ,Мъж,50 - 59,1
2021/12/16,MOD,Мъж,70 - 79,1
2021/12/17,COM,Мъж,50 - 59,1
2021/12/17,COM,Мъж,60 - 69,1
2021/12/17,COM,Мъж,70 - 79,1
2021/12/17,COM,Жена,70 - 79,1
2021/12/17,JANSS,Мъж,40 - 49,1
2021/12/17,MOD,Жена,70 - 79,1
2021/12/18,-,-,-,0
2021/12/19,COM,Мъж,80 - 89,1
2021/12/20,AZ,Мъж,80 - 89,1
2021/12/20,AZ,Мъж,90+,1
2021/12/20,COM,Мъж,70 - 79,1
2021/12/20,JANSS,Жена,30 - 39,1
2021/12/21,AZ,Мъж,70 - 79,1
2021/12/21,COM,Мъж,60 - 69,1
